"","participant_id","debrief_typical","debrief_events","strategies_yn","strategies_describe"
"35","4035","Very Typical","No, nothing unusual or stressful happened","yes","said either aloud or in my head the color and the shape of one or 2 objects. then on the next screen i'd be able to on theory know whether they were correct. since some of the objects were ""irregular"" i made up a shape name for them. one was zig zag, another was parentheses"
"36","4036","Very Typical","No, nothing unusual or stressful happened","yes","focused on color and shape of 2 of the 3 especially on the ones that were presented very quickly. also i said the names of thr colors out loud"
"37","4037","Very Typical","No, nothing unusual or stressful happened","yes","concentrating on shapies that were not similar to any of the others, trying to remember 2/3 shapes"
"38","4038","Very Typical","No, nothing unusual or stressful happened","yes","tried to verbalize shapes to remember a bit better"
"39","4040","Typical","No, nothing unusual or stressful happened","yes","remembering one shape and its color"
"40","4041","Very Typical","No, nothing unusual or stressful happened","no",""
"41","4042","Very Typical","No, nothing unusual or stressful happened","yes","I tried to focus on the larger shapes and their colors ."
"42","4043","Neutral","No, nothing unusual or stressful happened+Caregiving for someone+Guest(s) staying at your home","yes","watching only one or two shapes or colors"
"43","4044","Typical","No, nothing unusual or stressful happened","yes","identify the one or two images with the sharpest angles   work to remeber the sharpest angle color and rhr next sharpest angle color,  in the game with all 3 shapes reapearjng, focus only 1 shapes - with the sharpest angle "
"44","4045","Unusual","Other stressful experience","yes","I began to try to memorize two close-together shapes/colors as they flashed on the screen, then get a glimpse of the third before they all disappeared."
"45","4046","Unusual","No, nothing unusual or stressful happened","yes","associating each shape with a name such as pac for the pac man shape.  Also tried to learn to quickly pan the shapes and not fixate on each one as i tried to memorize what shape and color each one was. "
"46","4047","Typical","A problem someone else had","yes","naming shapes and colors "
"47","4048","Neutral","Negative social interaction(s)+A problem someone else had+Guest(s) staying at your home","yes","focused on one object and peripheral colors on others: easier to subconsciously see. sometimes i meditated first  those were better days "
"48","4049","Typical","No, nothing unusual or stressful happened","yes","I tried to remember shapes in the same order each time and said the color names in my head."
"49","4050","Typical","No, nothing unusual or stressful happened","yes","began to focus on 1 or two shapes with their color. this depended on there proximity to each other.  easier when grouped.  I would estimate this worked 50 % of the time while remainder was a gut feeling.  the first three days I tried to take a mental picture of the shapes the answered based in feeling. "
"50","4051","Typical","No, nothing unusual or stressful happened","yes","noticd two shapes instead of all three, thats enough info to know if theres a difference"
"51","4052","Very Typical","No, nothing unusual or stressful happened","yes","trying to name the shapes and colors (black tall, pink arrow, blue z, orange hourglass, etc)"
"52","4053","Very Typical","No, nothing unusual or stressful happened","yes","I tried focusing very hard on two out of the three shapes and quickly thinking about the third  "
"53","4054","Very Typical","No, nothing unusual or stressful happened","yes","Tried to focus on very familar objects first.  like the arrow or the damond.  "
"54","4055","Unusual","No, nothing unusual or stressful happened","yes","saying the colors outloud to see if I could remember them better."
"55","4056","Typical","No, nothing unusual or stressful happened+Financial problem(s)","yes","i ranked the shapes and used am arbitrary order to remember shapes and colors. due to the speed of the game, sometime, i risk matching only 2 shapes and colors and guess the last using visual memory. i tried to vocalize the shapes one time, but it did not help much."
"56","4058","Very Typical","No, nothing unusual or stressful happened","yes","try to remember only one or two shapes and colors, not all three."
"57","4059","Very Typical","No, nothing unusual or stressful happened","no",""
"58","4060","Neutral","A problem someone else had","yes","I tried to focus on just two of the objects per (first) screen, allowing the third item to be a default when viewing the second (comparison) screen."
"59","4061","Unusual","Caregiving for someone+Heard bad or upsetting news+Other stressful experience","yes","Tried to say aloud at least 2 of the colors/shapes"
"60","4063","Unusual","Health issue (spouse/partner)+Caregiving for someone+Financial problem(s)","yes","tried to memorize shapes first then colors or memorize two shapes color "
"61","4064","Typical","Financial problem(s)+Heard bad or upsetting news+Other stressful experience","yes","I would focus on two shapes and their colors, to attempt to better guess what popped up on the screen next"
"62","4066","Typical","Health issue (yours)+Financial problem(s)","yes","i would focus on one shape and its color"
"63","4067","Very Typical","No, nothing unusual or stressful happened","yes","remembering the shapes as a whole on the screen instead of remembering them individually"
"64","4068","Unusual","No, nothing unusual or stressful happened","yes","my strategy was to name certain shapes amdntheir colors outloud plus giving some shapes names like Couch , Stop Sign , Plane , Drum , etc"
"65","4070","Typical","No, nothing unusual or stressful happened","yes","On the very quick exercises, I made sure to focus on two objects if not all three. On the third object, I at least wanted to remember the color to help my decision. And if I had no idea, I hit ""different."""
